EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133001_1fve
Started: 2025-06-17 13:30:03
Completed: 2025-06-17 13:37:16
Total Training Time: 7.2 minutes (0.1 hours)
Report generated: 2025-06-17 13:37:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: False
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 1324102
  model_type: EvoformerODEFunc
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:30:03
Main Training Completed: 2025-06-17 13:37:16
Main Training Duration: 7.2 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
100      17.29448       1/1            17.22904       1/1            0.4         
101      17.22904       1/1            17.03609       1/1            0.4         
102      17.03609       1/1            16.78212       1/1            0.4         
103      16.78212       1/1            18.10228       1/1            0.4         
104      18.10228       1/1            18.10228       1/1            0.4         
105      18.10228       1/1            20.79201       1/1            0.4         
106      20.79201       1/1            20.79201       1/1            0.4         
107      20.79201       1/1            20.43265       1/1            0.4         
108      20.43265       1/1            18.56960       1/1            0.4         
109      18.56960       1/1            17.43995       1/1            0.4         
110      17.43995       1/1            16.63449       1/1            0.4         
111      16.63449       1/1            16.33552       1/1            0.4         
112      16.33552       1/1            16.29720       1/1            0.4         
113      16.29720       1/1            16.31728       1/1            0.4         
114      16.31728       1/1            16.32529       1/1            0.4         
115      16.32529       1/1            16.30822       1/1            0.4         
116      16.30822       1/1            16.28526       1/1            0.4         
117      16.28526       1/1            16.25463       1/1            0.4         
118      16.25463       1/1            16.21729       1/1            0.4         
119      16.21729       1/1            16.18094       1/1            0.4         
120      16.18094       1/1            16.15331       1/1            0.4         
121      16.15331       1/1            16.14502       1/1            0.4         
122      16.14502       1/1            16.15561       1/1            0.4         
123      16.15561       1/1            16.16455       1/1            0.4         
124      16.16455       1/1            16.15204       1/1            0.4         
125      16.15204       1/1            16.13470       1/1            0.4         
126      16.13470       1/1            16.10972       1/1            0.4         
127      16.10972       1/1            16.08412       1/1            0.4         
128      16.08412       1/1            16.06333       1/1            0.4         
129      16.06333       1/1            16.04992       1/1            0.4         
130      16.04992       1/1            16.04321       1/1            0.4         
131      16.04321       1/1            16.03902       1/1            0.4         
132      16.03902       1/1            16.03366       1/1            0.4         
133      16.03366       1/1            16.02577       1/1            0.4         
134      16.02577       1/1            16.01443       1/1            0.4         
135      16.01443       1/1            16.00096       1/1            0.4         
136      16.00096       1/1            15.98661       1/1            0.4         
137      15.98661       1/1            15.97290       1/1            0.4         
138      15.97290       1/1            15.96203       1/1            0.4         
139      15.96203       1/1            15.95314       1/1            0.4         
140      15.95314       1/1            15.94341       1/1            0.4         
141      15.94341       1/1            15.93128       1/1            0.4         
142      15.93128       1/1            15.91694       1/1            0.4         
143      15.91694       1/1            15.90270       1/1            0.4         
144      15.90270       1/1            15.89014       1/1            0.4         
145      15.89014       1/1            15.87669       1/1            0.4         
146      15.87669       1/1            15.86434       1/1            0.4         
147      15.86434       1/1            15.85074       1/1            0.4         
148      15.85074       1/1            15.83611       1/1            0.4         
149      15.83611       1/1            15.81941       1/1            0.4         
150      15.81941       1/1            15.80542       1/1            0.4         
151      15.80542       1/1            15.79147       1/1            0.4         
152      15.79147       1/1            15.77663       1/1            0.4         
153      15.77663       1/1            15.76118       1/1            0.4         
154      15.76118       1/1            15.74545       1/1            0.4         
155      15.74545       1/1            15.73029       1/1            0.4         
156      15.73029       1/1            15.71468       1/1            0.4         
157      15.71468       1/1            15.69865       1/1            0.4         
158      15.69865       1/1            15.68171       1/1            0.4         
159      15.68171       1/1            15.66561       1/1            0.4         
160      15.66561       1/1            15.64994       1/1            0.4         
161      15.64994       1/1            15.63377       1/1            0.4         
162      15.63377       1/1            15.61708       1/1            0.4         
163      15.61708       1/1            15.59882       1/1            0.4         
164      15.59882       1/1            15.58249       1/1            0.4         
165      15.58249       1/1            15.56593       1/1            0.4         
166      15.56593       1/1            15.54901       1/1            0.4         
167      15.54901       1/1            15.53210       1/1            0.4         
168      15.53210       1/1            15.51485       1/1            0.4         
169      15.51485       1/1            15.49780       1/1            0.4         
170      15.49780       1/1            15.47879       1/1            0.4         
171      15.47879       1/1            15.46154       1/1            0.4         
172      15.46154       1/1            15.44468       1/1            0.4         
173      15.44468       1/1            15.42739       1/1            0.4         
174      15.42739       1/1            15.41019       1/1            0.4         
175      15.41019       1/1            15.39294       1/1            0.4         
176      15.39294       1/1            15.37595       1/1            0.4         
177      15.37595       1/1            15.35879       1/1            0.4         
178      15.35879       1/1            15.33976       1/1            0.4         
179      15.33976       1/1            15.32218       1/1            0.4         
180      15.32218       1/1            15.30430       1/1            0.4         
181      15.30430       1/1            15.28720       1/1            0.4         
182      15.28720       1/1            15.27026       1/1            0.4         
183      15.27026       1/1            15.25335       1/1            0.4         
184      15.25335       1/1            15.23643       1/1            0.4         
185      15.23643       1/1            15.21941       1/1            0.4         
186      15.21941       1/1            15.20273       1/1            0.4         
187      15.20273       1/1            15.18377       1/1            0.4         
188      15.18377       1/1            15.16716       1/1            0.4         
189      15.16716       1/1            15.14970       1/1            0.4         
190      15.14970       1/1            15.13132       1/1            0.4         
191      15.13132       1/1            15.11454       1/1            0.4         
192      15.11454       1/1            15.09795       1/1            0.4         
193      15.09795       1/1            15.08129       1/1            0.4         
194      15.08129       1/1            15.06481       1/1            0.4         
195      15.06481       1/1            15.04820       1/1            0.4         
196      15.04820       1/1            15.03182       1/1            0.4         
197      15.03182       1/1            15.01538       1/1            0.4         
198      15.01538       1/1            14.99904       1/1            0.4         
199      14.99904       1/1            14.98201       1/1            0.4         
200      14.98201       1/1            14.96607       1/1            0.4         
201      14.96607       1/1            14.94927       1/1            0.4         
202      14.94927       1/1            14.93340       1/1            0.4         
203      14.93340       1/1            14.91357       1/1            0.4         
204      14.91357       1/1            14.89761       1/1            0.4         
205      14.89761       1/1            14.88192       1/1            0.4         
