EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133821_1fve
Started: 2025-06-17 13:38:23
Completed: 2025-06-17 13:45:20
Total Training Time: 6.9 minutes (0.1 hours)
Report generated: 2025-06-17 13:45:20

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 265986
  model_type: EvoformerODEFuncFast
  epochs: 10000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:38:23
Main Training Completed: 2025-06-17 13:45:20
Main Training Duration: 6.9 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
100      23.34897       1/1            23.14410       1/1            0.2         
101      23.14410       1/1            23.04117       1/1            0.2         
102      23.04117       1/1            22.96664       1/1            0.2         
103      22.96664       1/1            22.82513       1/1            0.2         
104      22.82513       1/1            22.73711       1/1            0.2         
105      22.73711       1/1            22.67968       1/1            0.2         
106      22.67968       1/1            22.51554       1/1            0.2         
107      22.51554       1/1            22.45548       1/1            0.2         
108      22.45548       1/1            22.38465       1/1            0.2         
109      22.38465       1/1            22.24629       1/1            0.2         
110      22.24629       1/1            22.15144       1/1            0.2         
111      22.15144       1/1            22.09829       1/1            0.2         
112      22.09829       1/1            21.95425       1/1            0.2         
113      21.95425       1/1            21.88971       1/1            0.2         
114      21.88971       1/1            21.82094       1/1            0.2         
115      21.82094       1/1            21.69045       1/1            0.2         
116      21.69045       1/1            21.60693       1/1            0.2         
117      21.60693       1/1            21.55610       1/1            0.2         
118      21.55610       1/1            21.41232       1/1            0.2         
119      21.41232       1/1            21.34727       1/1            0.2         
120      21.34727       1/1            21.28566       1/1            0.2         
121      21.28566       1/1            21.15996       1/1            0.2         
122      21.15996       1/1            21.06788       1/1            0.2         
123      21.06788       1/1            21.01574       1/1            0.2         
124      21.01574       1/1            20.88169       1/1            0.2         
125      20.88169       1/1            20.81886       1/1            0.2         
126      20.81886       1/1            20.75518       1/1            0.2         
127      20.75518       1/1            20.62992       1/1            0.2         
128      20.62992       1/1            20.54640       1/1            0.2         
129      20.54640       1/1            20.49762       1/1            0.2         
130      20.49762       1/1            20.36508       1/1            0.2         
131      20.36508       1/1            20.29454       1/1            0.2         
132      20.29454       1/1            20.23373       1/1            0.2         
133      20.23373       1/1            20.11455       1/1            0.2         
134      20.11455       1/1            20.04135       1/1            0.2         
135      20.04135       1/1            19.98758       1/1            0.2         
136      19.98758       1/1            19.85650       1/1            0.2         
137      19.85650       1/1            19.79906       1/1            0.2         
138      19.79906       1/1            19.74265       1/1            0.2         
139      19.74265       1/1            19.62142       1/1            0.2         
140      19.62142       1/1            19.54375       1/1            0.2         
141      19.54375       1/1            19.49855       1/1            0.2         
142      19.49855       1/1            19.37289       1/1            0.2         
143      19.37289       1/1            19.31189       1/1            0.2         
144      19.31189       1/1            19.25812       1/1            0.2         
145      19.25812       1/1            19.14171       1/1            0.2         
146      19.14171       1/1            19.07057       1/1            0.2         
147      19.07057       1/1            19.02874       1/1            0.2         
148      19.02874       1/1            18.90420       1/1            0.2         
149      18.90420       1/1            18.84443       1/1            0.2         
150      18.84443       1/1            18.79270       1/1            0.2         
151      18.79270       1/1            18.67820       1/1            0.2         
152      18.67820       1/1            18.61470       1/1            0.2         
153      18.61470       1/1            18.57358       1/1            0.2         
154      18.57358       1/1            18.45022       1/1            0.2         
155      18.45022       1/1            18.39120       1/1            0.2         
156      18.39120       1/1            18.34266       1/1            0.2         
157      18.34266       1/1            18.23037       1/1            0.2         
158      18.23037       1/1            18.16365       1/1            0.2         
159      18.16365       1/1            18.12437       1/1            0.2         
160      18.12437       1/1            18.00611       1/1            0.2         
161      18.00611       1/1            17.94655       1/1            0.2         
162      17.94655       1/1            17.89658       1/1            0.2         
163      17.89658       1/1            17.78766       1/1            0.2         
164      17.78766       1/1            17.72869       1/1            0.2         
165      17.72869       1/1            17.68807       1/1            0.2         
166      17.68807       1/1            17.56918       1/1            0.2         
167      17.56918       1/1            17.50957       1/1            0.2         
168      17.50957       1/1            17.46883       1/1            0.2         
169      17.46883       1/1            17.35832       1/1            0.2         
170      17.35832       1/1            17.29254       1/1            0.2         
171      17.29254       1/1            17.24715       1/1            0.2         
172      17.24715       1/1            17.13907       1/1            0.2         
173      17.13907       1/1            17.08081       1/1            0.2         
174      17.08081       1/1            17.03081       1/1            0.2         
175      17.03081       1/1            16.92515       1/1            0.2         
176      16.92515       1/1            16.87168       1/1            0.2         
177      16.87168       1/1            16.83211       1/1            0.2         
178      16.83211       1/1            16.71364       1/1            0.2         
179      16.71364       1/1            16.65092       1/1            0.2         
180      16.65092       1/1            16.60563       1/1            0.2         
181      16.60563       1/1            16.50116       1/1            0.2         
182      16.50116       1/1            16.44221       1/1            0.2         
183      16.44221       1/1            16.40097       1/1            0.2         
184      16.40097       1/1            16.29123       1/1            0.2         
185      16.29123       1/1            16.23089       1/1            0.2         
186      16.23089       1/1            16.18368       1/1            0.2         
187      16.18368       1/1            16.08104       1/1            0.2         
188      16.08104       1/1            16.02303       1/1            0.2         
189      16.02303       1/1            15.97885       1/1            0.2         
190      15.97885       1/1            15.86850       1/1            0.2         
191      15.86850       1/1            15.81187       1/1            0.2         
192      15.81187       1/1            15.76542       1/1            0.2         
193      15.76542       1/1            15.66075       1/1            0.2         
194      15.66075       1/1            15.60277       1/1            0.2         
195      15.60277       1/1            15.56260       1/1            0.2         
196      15.56260       1/1            15.46189       1/1            0.2         
197      15.46189       1/1            15.38694       1/1            0.2         
198      15.38694       1/1            15.33853       1/1            0.2         
199      15.33853       1/1            15.24409       1/1            0.2         
200      15.24409       1/1            15.19083       1/1            0.2         
201      15.19083       1/1            15.14110       1/1            0.2         
202      15.14110       1/1            15.03412       1/1            0.2         
203      15.03412       1/1            14.98024       1/1            0.2         
204      14.98024       1/1            14.93715       1/1            0.2         
205      14.93715       1/1            14.83107       1/1            0.2         
206      14.83107       1/1            14.76311       1/1            0.2         
207      14.76311       1/1            14.72137       1/1            0.2         
208      14.72137       1/1            14.62141       1/1            0.2         
209      14.62141       1/1            14.56807       1/1            0.2         
210      14.56807       1/1            14.52095       1/1            0.2         
211      14.52095       1/1            14.42036       1/1            0.2         
212      14.42036       1/1            14.36425       1/1            0.2         
213      14.36425       1/1            14.32666       1/1            0.2         
214      14.32666       1/1            14.22330       1/1            0.2         
215      14.22330       1/1            14.15911       1/1            0.2         
216      14.15911       1/1            14.11074       1/1            0.2         
217      14.11074       1/1            14.01825       1/1            0.2         
218      14.01825       1/1            13.96534       1/1            0.2         
219      13.96534       1/1            13.92223       1/1            0.2         
220      13.92223       1/1            13.81899       1/1            0.2         
221      13.81899       1/1            13.76365       1/1            0.2         
222      13.76365       1/1            13.72086       1/1            0.2         
223      13.72086       1/1            13.62386       1/1            0.2         
224      13.62386       1/1            13.56743       1/1            0.2         
225      13.56743       1/1            13.52616       1/1            0.2         
226      13.52616       1/1            13.42798       1/1            0.2         
227      13.42798       1/1            13.37401       1/1            0.2         
228      13.37401       1/1            13.32951       1/1            0.2         
229      13.32951       1/1            13.23618       1/1            0.2         
230      13.23618       1/1            13.18153       1/1            0.2         
231      13.18153       1/1            13.14406       1/1            0.2         
232      13.14406       1/1            13.04368       1/1            0.2         
233      13.04368       1/1            12.98934       1/1            0.2         
234      12.98934       1/1            12.94599       1/1            0.2         
235      12.94599       1/1            12.85379       1/1            0.2         
236      12.85379       1/1            12.80139       1/1            0.2         
237      12.80139       1/1            12.76180       1/1            0.2         
238      12.76180       1/1            12.66713       1/1            0.2         
239      12.66713       1/1            12.61344       1/1            0.2         
240      12.61344       1/1            12.56863       1/1            0.2         
241      12.56863       1/1            12.48119       1/1            0.2         
242      12.48119       1/1            12.43119       1/1            0.2         
243      12.43119       1/1            12.39267       1/1            0.2         
244      12.39267       1/1            12.29703       1/1            0.2         
245      12.29703       1/1            12.24627       1/1            0.2         
246      12.24627       1/1            12.20626       1/1            0.2         
247      12.20626       1/1            12.11815       1/1            0.2         
248      12.11815       1/1            12.06668       1/1            0.2         
249      12.06668       1/1            12.02722       1/1            0.2         
250      12.02722       1/1            11.93673       1/1            0.2         
251      11.93673       1/1            11.89005       1/1            0.2         
252      11.89005       1/1            11.84990       1/1            0.2         
253      11.84990       1/1            11.76305       1/1            0.2         
254      11.76305       1/1            11.71609       1/1            0.2         
255      11.71609       1/1            11.68420       1/1            0.2         
256      11.68420       1/1            11.59350       1/1            0.2         
257      11.59350       1/1            11.54064       1/1            0.2         
258      11.54064       1/1            11.49908       1/1            0.2         
259      11.49908       1/1            11.41948       1/1            0.2         
260      11.41948       1/1            11.37773       1/1            0.2         
261      11.37773       1/1            11.34017       1/1            0.2         
262      11.34017       1/1            11.25147       1/1            0.2         
263      11.25147       1/1            11.21044       1/1            0.2         
264      11.21044       1/1            11.17732       1/1            0.2         
265      11.17732       1/1            11.09236       1/1            0.2         
266      11.09236       1/1            11.03849       1/1            0.2         
267      11.03849       1/1            11.00191       1/1            0.2         
268      11.00191       1/1            10.93049       1/1            0.2         
269      10.93049       1/1            10.88063       1/1            0.2         
270      10.88063       1/1            10.83944       1/1            0.2         
271      10.83944       1/1            10.76661       1/1            0.2         
272      10.76661       1/1            10.72374       1/1            0.2         
273      10.72374       1/1            10.68484       1/1            0.2         
274      10.68484       1/1            10.60531       1/1            0.2         
275      10.60531       1/1            10.55881       1/1            0.2         
276      10.55881       1/1            10.53570       1/1            0.2         
277      10.53570       1/1            10.47984       1/1            0.2         
278      10.47984       1/1            10.37802       1/1            0.2         
279      10.37802       1/1            10.40616       1/1            0.2         
280      10.40616       1/1            10.31987       1/1            0.2         
281      10.31987       1/1            10.22834       1/1            0.2         
282      10.22834       1/1            10.18803       1/1            0.2         
283      10.18803       1/1            10.15371       1/1            0.2         
284      10.15371       1/1            10.09219       1/1            0.2         
285      10.09219       1/1            10.01002       1/1            0.2         
286      10.01002       1/1            9.99558        1/1            0.2         
287      9.99558        1/1            9.98525        1/1            0.2         
288      9.98525        1/1            9.89832        1/1            0.2         
289      9.89832        1/1            9.80648        1/1            0.2         
290      9.80648        1/1            9.77288        1/1            0.2         
291      9.77288        1/1            9.71368        1/1            0.2         
292      9.71368        1/1            9.65723        1/1            0.2         
293      9.65723        1/1            9.60677        1/1            0.2         
294      9.60677        1/1            9.55068        1/1            0.2         
295      9.55068        1/1            9.49366        1/1            0.2         
296      9.49366        1/1            9.44050        1/1            0.2         
297      9.44050        1/1            9.37561        1/1            0.2         
298      9.37561        1/1            9.32288        1/1            0.2         
299      9.32288        1/1            9.25720        1/1            0.2         
300      9.25720        1/1            9.20773        1/1            0.2         
