EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: adjoint_training_20250605_183403
Started: 2025-06-05 18:34:32
Completed: 2025-06-06 00:32:37
Total Training Time: 358.1 minutes (6.0 hours)
Report generated: 2025-06-06 00:32:37

Configuration Settings:
------------------------------
  data_dir: /media/visitor/Extreme SSD/data/complete_blocks
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/mini
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/outputs
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 128
  model_parameters: 166914
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: 1000
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 80
  val_proteins: 25

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Val Loss       Best Loss      Worst Loss     Duration (s)
97       0.16256        0.17239        0.11584        0.50349        113.7       
98       0.16199        0.17192        0.11535        0.50166        113.5       
99       0.16154        0.17150        0.11492        0.50003        113.6       
100      0.16115        0.17122        0.11446        0.49851        113.6       
101      0.16101        0.17106        0.11339        0.49988        113.6       
102      0.16069        0.17067        0.11401        0.49491        113.4       
103      0.16036        0.17056        0.11368        0.49344        113.6       
104      0.16012        0.17041        0.11345        0.49161        113.7       
105      0.16036        0.17058        0.11231        0.49496        113.7       
106      0.15989        0.17010        0.11341        0.48812        113.8       
107      0.15962        0.17005        0.11315        0.48753        113.5       
108      0.15941        0.16994        0.11295        0.48718        113.8       
109      0.15927        0.16982        0.11274        0.48675        113.5       
110      0.15910        0.16967        0.11262        0.48383        113.8       
111      0.15896        0.16958        0.11242        0.48676        113.9       
112      0.15881        0.16942        0.11235        0.48134        113.7       
113      0.15898        0.16942        0.11193        0.48766        113.7       
114      0.15866        0.16916        0.11215        0.47967        113.9       
115      0.15840        0.16917        0.11192        0.47882        113.8       
116      0.15821        0.16902        0.11186        0.47824        113.9       
117      0.15807        0.16886        0.11179        0.47830        113.7       
118      0.15791        0.16872        0.11153        0.47528        113.8       
119      0.15777        0.16859        0.11134        0.47417        113.7       
120      0.15762        0.16853        0.11114        0.47310        113.8       
121      0.15746        0.16832        0.11118        0.47307        113.7       
122      0.15730        0.16816        0.11115        0.47303        113.7       
123      0.15717        0.16801        0.11109        0.47232        113.7       
124      0.15704        0.16788        0.11099        0.47140        113.8       
125      0.15686        0.16780        0.11059        0.46822        113.8       
126      0.15671        0.16765        0.11040        0.46652        113.9       
127      0.15653        0.16749        0.11031        0.46568        113.9       
128      0.15636        0.16732        0.11024        0.46526        113.7       
129      0.15619        0.16714        0.11021        0.46503        113.8       
130      0.15602        0.16697        0.11005        0.46484        113.7       
131      0.15587        0.16679        0.11001        0.46456        113.9       
132      0.15570        0.16662        0.10982        0.46403        113.8       
133      0.15565        0.16645        0.10998        0.46697        113.9       
134      0.15540        0.16633        0.10939        0.46052        113.8       
135      0.15521        0.16624        0.10940        0.46039        113.7       
136      0.15502        0.16608        0.10931        0.46072        113.9       
137      0.15484        0.16596        0.10921        0.46046        113.8       
138      0.15467        0.16584        0.10910        0.46006        113.9       
139      0.15449        0.16579        0.10905        0.45947        113.8       
140      0.15432        0.16580        0.10899        0.45859        113.9       
141      0.15411        0.16578        0.10884        0.45817        113.8       
142      0.15388        0.16572        0.10867        0.45652        113.9       
143      0.15370        0.16572        0.10857        0.45550        113.8       
144      0.15350        0.16567        0.10845        0.45479        113.8       
145      0.15335        0.16561        0.10840        0.45424        114.0       
146      0.15317        0.16561        0.10821        0.45242        114.0       
147      0.15299        0.16557        0.10811        0.45128        114.0       
148      0.15282        0.16551        0.10808        0.45040        113.9       
149      0.15264        0.16545        0.10799        0.44926        113.9       
150      0.15248        0.16540        0.10789        0.44863        114.0       
151      0.15228        0.16537        0.10775        0.44772        113.9       
152      0.15209        0.16524        0.10760        0.44692        113.9       
153      0.15193        0.16517        0.10749        0.44554        113.8       
154      0.15181        0.16508        0.10738        0.44702        114.5       
155      0.15161        0.16505        0.10732        0.44433        115.1       
156      0.15147        0.16502        0.10723        0.44344        114.2       
157      0.15139        0.16498        0.10712        0.44379        113.8       
158      0.15131        0.16498        0.10700        0.44790        113.9       
159      0.15098        0.16481        0.10686        0.44897        114.0       
160      0.15085        0.16477        0.10682        0.44591        114.0       
161      0.15072        0.16468        0.10671        0.44510        113.9       
162      0.15059        0.16450        0.10660        0.44333        113.9       
163      0.15054        0.16459        0.10652        0.44086        114.0       
164      0.15030        0.16437        0.10630        0.44118        114.0       
165      0.15028        0.16442        0.10627        0.43907        113.9       
166      0.15006        0.16423        0.10602        0.43889        114.0       
167      0.15007        0.16432        0.10611        0.43698        114.1       
168      0.14979        0.16410        0.10587        0.43686        114.0       
169      0.14982        0.16420        0.10593        0.43471        113.9       
170      0.14956        0.16392        0.10566        0.43521        113.9       
171      0.14963        0.16406        0.10578        0.43232        113.9       
172      0.14934        0.16390        0.10539        0.43187        114.1       
173      0.14928        0.16379        0.10536        0.43058        113.9       
174      0.14914        0.16377        0.10519        0.42915        114.7       
175      0.14903        0.16353        0.10509        0.42897        114.7       
176      0.14908        0.16374        0.10508        0.42624        114.7       
177      0.14874        0.16352        0.10469        0.42600        114.6       
178      0.14873        0.16345        0.10471        0.42539        114.9       
179      0.14855        0.16339        0.10457        0.42260        114.5       
180      0.14836        0.16333        0.10448        0.42203        114.9       
181      0.14824        0.16315        0.10429        0.42073        114.4       
182      0.14812        0.16174        0.10406        0.41786        114.8       
183      0.14816        0.16248        0.10397        0.41322        114.6       
184      0.14820        0.16290        0.10399        0.41212        114.9       
185      0.14764        0.16274        0.10372        0.41152        114.4       
186      0.14619        0.16202        0.10203        0.40658        115.0       
187      0.14583        0.16206        0.10197        0.40463        114.6       
188      0.14577        0.16191        0.10196        0.40359        114.9       
189      0.14508        0.16177        0.10293        0.40196        114.6       
----------------------------------------------------------------------------------------

PERFORMANCE ANALYSIS
------------------------------
Best Training Epoch: 189 (Loss: 0.14508)
Worst Training Epoch: 1 (Loss: 1.84733)
Training Improvement: 12.7x better from worst to best
Best Validation Epoch: 182 (Loss: 0.16174)
Worst Validation Epoch: 1 (Loss: 1.07682)

DETAILED EPOCH RESULTS
==================================================

Epoch 1:
  Duration: 105.0 seconds
  Training Loss: 1.84733
  Validation Loss: 1.07682 (25 proteins)
    Val range: [1.00689, 1.34352]
  Best: 4cew_A (1.08228)
  Worst: 3eps_A (2.85765)
  Training Proteins:
    7d60_A: 2.57452
    1kqy_A: 2.60848
    3eba_A: 2.38064
    3foa_A: 2.85379
    3eps_A: 2.85765
    4j7z_A: 2.26489
    2cbp_A: 2.28906
    2wvq_A: 2.40901
    5wrf_A: 2.33090
    3ob6_A: 2.63896
    1mzw_A: 2.37262
    7bln_A: 2.36433
    3st1_A: 2.40657
    1z84_A: 2.50824
    5jir_A: 2.55148
    5wup_A: 2.58427
    1tpg_A: 2.19912
    6dzg_A: 2.39453
    1b08_A: 2.24158
    7k6p_A: 2.15259
    6h05_A: 2.41138
    1pzx_A: 2.30418
    6fl1_A: 1.97948
    2wwn_A: 2.19266
    3zxf_A: 2.14534
    4n8p_A: 2.13446
    3e62_A: 2.22307
    5veo_A: 2.30116
    4i05_A: 2.19831
    4b7i_A: 2.13095
    1rij_A: 1.91880
    2pwj_A: 2.05803
    4z7x_A: 2.07961
    2f2x_A: 1.93017
    6vjo_A: 1.91020
    3q54_A: 2.07458
    2cb3_A: 1.94820
    3gai_A: 1.92672
    3dm8_A: 1.88662
    4x51_A: 1.85674
    1wlt_A: 1.87122
    4edp_A: 1.90925
    4yk0_A: 1.77901
    6neg_A: 1.84872
    5uag_A: 1.80466
    2gp6_A: 1.80802
    1t1h_A: 1.66049
    1pt4_A: 1.62930
    1su1_A: 1.67914
    1fdy_A: 1.66310
    7lca_A: 1.64592
    6fcm_A: 1.59737
    2cwx_A: 1.60684
    1i5z_A: 1.54081
    6abq_A: 1.51893
    1esi_A: 1.50218
    4ekx_A: 1.46867
    5khg_A: 1.44200
    1ehj_A: 1.42130
    6v42_A: 1.41255
    5uqi_A: 1.39550
    3tkp_A: 1.35776
    3gbw_A: 1.36539
    2qht_A: 1.33262
    2r9p_A: 1.28567
    3ga0_A: 1.26188
    2g19_A: 1.26383
    4nwb_A: 1.26669
    2zc1_A: 1.21745
    3dp6_A: 1.19920
    2uy9_A: 1.18640
    3o4r_A: 1.17055
    2pku_A: 1.19350
    6yjn_A: 1.13828
    1sgv_A: 1.13385
    1uv7_A: 1.16185
    6jko_A: 1.09178
    6sw8_A: 1.18938
    2ztm_A: 1.08952
    4cew_A: 1.08228

Epoch 2:
  Duration: 113.1 seconds
  Training Loss: 0.90629
  Validation Loss: 0.76738 (25 proteins)
    Val range: [0.67787, 1.08636]
  Best: 6jko_A (0.73315)
  Worst: 6vjo_A (1.32244)
  Training Proteins:
    7d60_A: 1.06595
    1kqy_A: 1.06042
    3eba_A: 1.08446
    3foa_A: 0.98081
    3eps_A: 0.96314
    4j7z_A: 1.09973
    2cbp_A: 1.06656
    2wvq_A: 1.00881
    5wrf_A: 1.05397
    3ob6_A: 0.96219
    1mzw_A: 0.99775
    7bln_A: 0.99403
    3st1_A: 0.97135
    1z84_A: 0.93967
    5jir_A: 0.89248
    5wup_A: 0.90189
    1tpg_A: 1.03225
    6dzg_A: 0.91126
    1b08_A: 0.96877
    7k6p_A: 1.12643
    6h05_A: 0.87402
    1pzx_A: 0.91225
    6fl1_A: 1.25653
    2wwn_A: 0.97989
    3zxf_A: 1.00075
    4n8p_A: 0.98276
    3e62_A: 0.88323
    5veo_A: 0.83674
    4i05_A: 0.88295
    4b7i_A: 0.92496
    1rij_A: 1.09597
    2pwj_A: 0.92943
    4z7x_A: 0.90537
    2f2x_A: 0.97909
    6vjo_A: 1.32244
    3q54_A: 0.88547
    2cb3_A: 0.91095
    3gai_A: 0.90564
    3dm8_A: 0.95997
    4x51_A: 0.94379
    1wlt_A: 0.89160
    4edp_A: 0.85371
    4yk0_A: 0.92432
    6neg_A: 0.82703
    5uag_A: 0.84596
    2gp6_A: 0.79993
    1t1h_A: 0.92722
    1pt4_A: 1.07627
    1su1_A: 0.86771
    1fdy_A: 0.82987
    7lca_A: 0.79967
    6fcm_A: 0.81871
    2cwx_A: 0.78690
    1i5z_A: 0.85979
    6abq_A: 0.88372
    1esi_A: 0.83754
    4ekx_A: 0.87860
    5khg_A: 0.84081
    1ehj_A: 0.90846
    6v42_A: 0.75253
    5uqi_A: 0.82334
    3tkp_A: 0.79280
    3gbw_A: 0.84422
    2qht_A: 0.84309
    2r9p_A: 0.78904
    3ga0_A: 0.74952
    2g19_A: 0.78811
    4nwb_A: 0.82324
    2zc1_A: 0.76759
    3dp6_A: 0.76085
    2uy9_A: 0.74040
    3o4r_A: 0.77081
    2pku_A: 0.84487
    6yjn_A: 0.76872
    1sgv_A: 0.76714
    1uv7_A: 0.82717
    6jko_A: 0.73315
    6sw8_A: 0.88332
    2ztm_A: 0.77254
    4cew_A: 0.74882

Epoch 3:
  Duration: 113.8 seconds
  Training Loss: 0.63588
  Validation Loss: 0.51177 (25 proteins)
    Val range: [0.45700, 0.80992]
  Best: 4cew_A (0.48882)
  Worst: 6vjo_A (1.04872)
  Training Proteins:
    7d60_A: 0.75995
    1kqy_A: 0.75405
    3eba_A: 0.79080
    3foa_A: 0.68608
    3eps_A: 0.67741
    4j7z_A: 0.84427
    2cbp_A: 0.77799
    2wvq_A: 0.74687
    5wrf_A: 0.78397
    3ob6_A: 0.71044
    1mzw_A: 0.72428
    7bln_A: 0.72826
    3st1_A: 0.70758
    1z84_A: 0.68763
    5jir_A: 0.65397
    5wup_A: 0.66764
    1tpg_A: 0.75507
    6dzg_A: 0.66902
    1b08_A: 0.71025
    7k6p_A: 0.84951
    6h05_A: 0.66391
    1pzx_A: 0.67497
    6fl1_A: 0.96636
    2wwn_A: 0.70936
    3zxf_A: 0.71489
    4n8p_A: 0.68313
    3e62_A: 0.64013
    5veo_A: 0.60922
    4i05_A: 0.63207
    4b7i_A: 0.65290
    1rij_A: 0.77845
    2pwj_A: 0.64642
    4z7x_A: 0.64438
    2f2x_A: 0.66430
    6vjo_A: 1.04872
    3q54_A: 0.65618
    2cb3_A: 0.63263
    3gai_A: 0.64164
    3dm8_A: 0.67384
    4x51_A: 0.67483
    1wlt_A: 0.60665
    4edp_A: 0.61143
    4yk0_A: 0.63475
    6neg_A: 0.58363
    5uag_A: 0.59830
    2gp6_A: 0.56584
    1t1h_A: 0.61719
    1pt4_A: 0.75852
    1su1_A: 0.58329
    1fdy_A: 0.57090
    7lca_A: 0.56099
    6fcm_A: 0.55443
    2cwx_A: 0.55222
    1i5z_A: 0.58385
    6abq_A: 0.57984
    1esi_A: 0.56853
    4ekx_A: 0.56764
    5khg_A: 0.56707
    1ehj_A: 0.59733
    6v42_A: 0.51262
    5uqi_A: 0.53475
    3tkp_A: 0.51735
    3gbw_A: 0.55381
    2qht_A: 0.56682
    2r9p_A: 0.50488
    3ga0_A: 0.49408
    2g19_A: 0.51176
    4nwb_A: 0.56001
    2zc1_A: 0.51238
    3dp6_A: 0.49057
    2uy9_A: 0.49350
    3o4r_A: 0.50347
    2pku_A: 0.54219
    6yjn_A: 0.50168
    1sgv_A: 0.51112
    1uv7_A: 0.52618
    6jko_A: 0.49081
    6sw8_A: 0.58431
    2ztm_A: 0.51355
    4cew_A: 0.48882

Epoch 4:
  Duration: 113.2 seconds
  Training Loss: 0.42165
  Validation Loss: 0.36196 (25 proteins)
    Val range: [0.30406, 0.64528]
  Best: 3dp6_A (0.31877)
  Worst: 6vjo_A (0.86207)
  Training Proteins:
    7d60_A: 0.50581
    1kqy_A: 0.48898
    3eba_A: 0.49753
    3foa_A: 0.46591
    3eps_A: 0.46211
    4j7z_A: 0.58515
    2cbp_A: 0.48216
    2wvq_A: 0.48750
    5wrf_A: 0.49559
    3ob6_A: 0.48219
    1mzw_A: 0.44832
    7bln_A: 0.45461
    3st1_A: 0.44251
    1z84_A: 0.45410
    5jir_A: 0.43050
    5wup_A: 0.45304
    1tpg_A: 0.47418
    6dzg_A: 0.42649
    1b08_A: 0.44018
    7k6p_A: 0.57210
    6h05_A: 0.45810
    1pzx_A: 0.43614
    6fl1_A: 0.72501
    2wwn_A: 0.46071
    3zxf_A: 0.46153
    4n8p_A: 0.42026
    3e62_A: 0.40774
    5veo_A: 0.39877
    4i05_A: 0.40445
    4b7i_A: 0.41218
    1rij_A: 0.56867
    2pwj_A: 0.40205
    4z7x_A: 0.41161
