EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

⏰ INTERRUPTED AT 114 EPOCHS (TIME LIMIT REACHED)
==================================================

Experiment: 20250613_180436_fast_ode_with_prelim
Started: 2025-06-14 19:23:15
Completed: 2025-06-15 19:23:16
Total Training Time: 1440.0 minutes (24.0 hours)
Report generated: 2025-06-15 19:23:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/jumbo
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 64
  model_parameters: 117378
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 492
  val_proteins: 50
  use_sequential_loading: True
  aggressive_cleanup: True

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
103      31.90335       478/492        35.03313       50/50          779.3       
104      31.87478       478/492        35.00257       50/50          780.2       
105      31.82760       478/492        34.99807       50/50          780.3       
106      31.81621       478/492        34.93791       50/50          781.3       
107      31.79154       478/492        34.90945       50/50          781.4       
108      31.76312       478/492        34.87585       50/50          781.6       
109      31.73958       478/492        34.84853       50/50          783.1       
110      31.69727       478/492        34.83594       50/50          782.3       
111      31.68695       478/492        34.78350       50/50          783.5       
112      31.66342       478/492        34.75650       50/50          783.5       
113      31.64089       478/492        34.72838       50/50          784.8       
----------------------------------------------------------------------------------------

PERFORMANCE ANALYSIS
------------------------------
Best Training Epoch: 113 (Loss: 31.64089)
Worst Training Epoch: 1 (Loss: 84.74599)
Training Improvement: 2.7x better from worst to best
Final Training Success Rate: 97.2%
Final Validation Success Rate: 100.0%
Best Validation Epoch: 113 (Loss: 34.72838)
Worst Validation Epoch: 1 (Loss: 60.41131)

DETAILED EPOCH RESULTS
==================================================

Epoch 1:
  Duration: 734.6 seconds
  Training Loss: 84.74599
  Training Success: 478/492 proteins
  Validation Loss: 60.41131 (50 proteins)
  Validation Success: 50/50 proteins
    Val range: [6.68301, 282.04028]
  Best: 1i6j_A (4.53725)
  Worst: 3eps_A (1473.77014)
  Training Proteins:
    7d60_A: 566.21295
    1kqy_A: 557.02686
    3eba_A: 210.85074
    3foa_A: 1274.76489
    3eps_A: 1473.77014
    4j7z_A: 179.37401
    2cbp_A: 148.74936
    2wvq_A: 401.05865
    5wrf_A: 233.61610
    3ob6_A: 933.27600
    1mzw_A: 279.22162
    7bln_A: 281.01813
    3st1_A: 329.10345
    1z84_A: 552.59595
    5jir_A: 658.46893
    5wup_A: 756.74963
    1tpg_A: 107.80358
    6dzg_A: 393.93567
    1b08_A: 182.73410
    7k6p_A: 106.13555
    6h05_A: 551.46191
    1pzx_A: 331.67081
    6fl1_A: 12.75161
    2wwn_A: 172.32092
    3zxf_A: 132.92584
    4n8p_A: 120.97050
    3e62_A: 273.35721
    5veo_A: 389.15961
    4i05_A: 242.31772
    4b7i_A: 171.01703
    1rij_A: 17.19451
    2pwj_A: 124.44317
    4z7x_A: 174.99654
    2f2x_A: 39.04760
    6vjo_A: 31.34630
    3q54_A: 250.46248
    2cb3_A: 95.19125
    3gai_A: 106.60899
    3dm8_A: 73.73694
    4x51_A: 82.09202
    1wlt_A: 85.40418
    4edp_A: 168.10663
    4yk0_A: 47.11542
    6neg_A: 156.73137
    5uag_A: 130.88477
    2gp6_A: 172.46310
    1t1h_A: 30.11580
    1pt4_A: 15.90578
    1su1_A: 74.29424
    1fdy_A: 108.44234
    7lca_A: 155.05215
    6fcm_A: 102.92723
    2cwx_A: 161.33368
    1i5z_A: 77.15813
    6abq_A: 38.96595
    1esi_A: 97.29440
    4ekx_A: 37.84235
    5khg_A: 70.91750
    1ehj_A: 23.61842
    6v42_A: 172.44943
    5uqi_A: 60.63496
    3tkp_A: 75.61068
    3gbw_A: 52.36710
    2qht_A: 73.22227
    2r9p_A: 64.39583
    3ga0_A: 108.73077
    2g19_A: 72.73600
    4nwb_A: 99.21008
    2zc1_A: 105.15382
    3dp6_A: 79.30428
    2uy9_A: 123.08865
    3o4r_A: 78.64868
    2pku_A: 26.03500
    6yjn_A: 74.42192
    1sgv_A: 97.16006
    1uv7_A: 31.04052
    6jko_A: 120.62109
    6sw8_A: 25.00744
    2ztm_A: 82.10188
    4cew_A: 89.09959
    6k6r_A: 37.17075
    4wcz_A: 75.66279
    3g4a_A: 69.17640
    6dwx_A: 44.57681
    2zx0_A: 49.30518
    6leo_A: 108.62901
    5vo7_A: 28.75380
    4fcg_A: 93.10670
    2f4p_A: 39.11193
    1b09_A: 49.06514
    2h61_A: 31.26466
    6fsn_A: 79.04125
    6fj4_A: 75.88441
    5wk6_A: 201.80255
    4rc1_A: 63.87451
    3mra_A: 22.02277
    2lp8_A: 57.31562
    5uxd_A: 86.20321
    4yxm_A: 107.22523
    2chu_A: 78.61658
    1dew_A: 9.05324
